agency_id,route_id,route_name
DIMTS,10518,724BDOWN3
DIMTS,10519,ML06STLDOWN
DIMTS,1171,378STLUP
DIMTS,1492,719ADOWN
DIMTS,10520,219LSTLUP
DIMTS,149,940STLUP
DIMTS,693,261UP
DIMTS,855,144STLDOWN
DIMTS,1572,173STLDOWN
DIMTS,840,774UP
DIMTS,1850,546DOWN
DIMTS,1731,753STLUP
DIMTS,10521,938BUP
DIMTS,10522,775LINKSTLDOWN
DIMTS,215,207STLUP
DIMTS,420,433LINKSTLUP
DIMTS,10523,534EUP
DIMTS,584,568UP
DIMTS,864,578LSTLDOWN
DIMTS,10524,850BDOWN
DIMTS,2016,942UP
DIMTS,1444,144UP
DIMTS,677,876STLUP
DIMTS,845,817EXTDOWN
DIMTS,1144,179UP
DIMTS,10077,DW-2LSTLDOWN
DIMTS,10525,957BUP
DIMTS,10526,AIR-08STLUP
DIMTS,1247,783DOWN
DIMTS,789,320UP
DIMTS,1070,182ACLDOWN
DIMTS,1157,205LNKSTLUP
DIMTS,10527,917LSTLUP
DIMTS,10528,169STLUP3
DIMTS,623,261LNKSTLDOWN
DIMTS,10079,RL-79DOWN
DIMTS,72,120STLUP
DIMTS,10080,448UP
DIMTS,1159,818BDOWN
DIMTS,1891,534DOWN
DIMTS,10529,721BUP
DIMTS,10081,DW-4STLUP
DIMTS,1532,774BDOWN
DIMTS,486,CBD2(+)UP
DIMTS,711,175UP
DIMTS,1285,891DOWN
DIMTS,10082,130UP
DIMTS,265,128STLDOWN
DIMTS,260,108DOWN
DIMTS,1036,188UP
DIMTS,869,274UP
DIMTS,10530,784AUP
DIMTS,10531,523STLDOWN
DIMTS,1346,893UP
DIMTS,876,953STLUP
DIMTS,10532,878STLUP2
DIMTS,674,628STLDOWN
DIMTS,10533,182EUP
DIMTS,985,745UP
DIMTS,10534,214STLDOWN
DIMTS,1179,828DOWN
DIMTS,105,940DOWN
DIMTS,733,838DOWN
DIMTS,561,778UP
DIMTS,1534,926ADOWN
DIMTS,10535,972BSTLUP
DIMTS,10536,962ASTLDOWN
DIMTS,615,816UP
DIMTS,10085,DW-1UP
DIMTS,570,588DOWN
DIMTS,1412,824STLDOWN
DIMTS,10537,807BUP
DIMTS,2114,354UP
DIMTS,1691,205LSTLUP
DIMTS,164,944LSTLUP
DIMTS,665,144STLUP
DIMTS,225,148UP
DIMTS,366,370UP
DIMTS,10538,CUP 901.00
DIMTS,758,817DOWN
DIMTS,1667,708STLUP
DIMTS,1116,859LSTLUP
DIMTS,380,390DOWN
DIMTS,681,801LNKSTLUP
DIMTS,364,380DOWN
DIMTS,1877,719UP
DIMTS,10088,GL-23DOWN
DIMTS,1840,859ADOWN
DIMTS,10539,990BDOWN
DIMTS,440,129UP
DIMTS,503,772DOWN
DIMTS,1357,156STLDOWN
DIMTS,1790,161STLDOWN
DIMTS,1206,137DOWN
DIMTS,333,191UP
DIMTS,10540,929EDOWN
DIMTS,1665,505UP
DIMTS,759,215UP
DIMTS,581,578AUP
DIMTS,1897,114BDOWN
DIMTS,259,215STLUP
DIMTS,421,741STLUP
DIMTS,315,405AUP
DIMTS,10089,957UP
DIMTS,292,114UP
DIMTS,2151,88ADOWN
DIMTS,1411,724UP
DIMTS,520,761UP
DIMTS,10541,237AUP
DIMTS,10542,MC341DOWN
DIMTS,1547,433LSTLDOWN
DIMTS,10091,425UP
DIMTS,1604,182ACLUP
DIMTS,10092,460UP
DIMTS,10543,136LNKSTLDOWN
DIMTS,211,543ALSTLUP
DIMTS,10544,MC715STLUP
DIMTS,1264,153UP
DIMTS,10094,116UP
DIMTS,1156,740EXTUP
DIMTS,10545,949STLUP2
DIMTS,1256,217UP
DIMTS,10546,962ASTLUP
DIMTS,110,706AUP
DIMTS,168,427UP
DIMTS,413,990ECLUP
DIMTS,2001,819STLUP
DIMTS,1203,962LSTLDOWN
DIMTS,892,825+790DOWN
DIMTS,1057,205DOWN
DIMTS,844,763UP
DIMTS,401,173DOWN
DIMTS,1136,172ADOWN
DIMTS,1151,990CLDOWN
DIMTS,10098,RL-75DOWN
DIMTS,10547,522BDOWN2
DIMTS,10548,998ASTLUP2
DIMTS,10549,169DWN
DIMTS,1174,147STLDOWN
DIMTS,10550,901AUP
DIMTS,784,219STLDOWN
DIMTS,394,801AUP
DIMTS,877,267DOWN
DIMTS,1459,790BUP
DIMTS,1940,107STLUP
DIMTS,10551,102LSTLUP
DIMTS,10552,MC137UP2
DIMTS,1999,193UP
DIMTS,1461,112STLDOWN
DIMTS,917,792ADOWN
DIMTS,645,539BUP
DIMTS,1416,850STLUP
DIMTS,169,949DOWN
DIMTS,1929,753STLDOWN
DIMTS,10553,(-)OUTERMUDRIKA
DIMTS,1313,719DOWN
DIMTS,10554,172ESTLDOWN
DIMTS,10103,DW-3UP
DIMTS,1521,171STLUP
DIMTS,1970,317STLUP
DIMTS,1231,937AUP
DIMTS,686,943STLDOWN
DIMTS,1663,981ADOWN
DIMTS,39,511ADOWN
DIMTS,990,193STLDOWN
DIMTS,10555,998STLDOWN2
DIMTS,10556,567ASTLDOWN2
DIMTS,10557,717STLUP2
DIMTS,1946,790+876UP
DIMTS,150,775EUP
DIMTS,136,824LINKSTLDOWN
DIMTS,778,523UP
DIMTS,1965,790STLUP
DIMTS,741,567STLDOWN
DIMTS,187,966DOWN
DIMTS,2110,934UP
DIMTS,1084,161AUP
DIMTS,10104,971UP
DIMTS,217,978LTDUP
DIMTS,10558,130DWN
DIMTS,10559,ML06DOWN
DIMTS,1164,770CDOWN
DIMTS,1232,320DOWN
DIMTS,391,829UP
DIMTS,761,258DOWN
DIMTS,2070,702UP
DIMTS,905,102AUP
DIMTS,10560,838AUP2
DIMTS,1913,728LNKSTLDOWN
DIMTS,10561,891LSTLDOWN
DIMTS,737,344STLDOWN
DIMTS,290,891UP
DIMTS,10562,829STLDOWN2
DIMTS,10563,929EUP
DIMTS,1435,33LNKSTLDOWN
DIMTS,445,539DOWN
DIMTS,2140,727DOWN
DIMTS,1176,540CLDOWN
DIMTS,1841,175STLDOWN
DIMTS,1234,172DOWN
DIMTS,1796,153STLUP
DIMTS,10,993DOWN
DIMTS,10564,939LSTLDOWN
DIMTS,11,810UP
DIMTS,247,120STLDOWN
DIMTS,707,317UP
DIMTS,1000,783UP
DIMTS,10108,39DOWN
DIMTS,209,886STLDOWN
DIMTS,10565,116DWN
DIMTS,10566,879STLDOWN
DIMTS,10567,136AUP
DIMTS,1525,944STLUP
DIMTS,10568,281AUP
DIMTS,2121,790ADOWN2
DIMTS,10569,281STLDOWN
